APPLICATION_NAME DATASET totInstruction ILP32 ILP64 ILP128 ILP256 total_ins_count_for_hpc_alignment totInstruction mem-read mem-write control-flow arithmetic floating-point stack shift string sse other nop InstrFootprint64 InstrFootprint4k DataFootprint64 DataFootprint4k mem_access memReuseDist0-2 memReuseDist2-4 memReuseDist4-8 memReuseDist8-16 memReuseDist16-32 memReuseDist32-64 memReuseDist64-128 memReuseDist128-256 memReuseDist256-512 memReuseDist512-1k memReuseDist1k-2k memReuseDist2k-4k memReuseDist4k-8k memReuseDist8k-16k memReuseDist16k-32k memReuseDist32k-64k memReuseDist64k-128k memReuseDist128k-256k memReuseDist256k-512k memReuseDist512k-00 GAg_mispred_cnt_4bits PAg_mispred_cnt_4bits GAs_mispred_cnt_4bits PAs_mispred_cnt_4bits GAg_mispred_cnt_8bits PAg_mispred_cnt_8bits GAs_mispred_cnt_8bits PAs_mispred_cnt_8bits GAg_mispred_cnt_12bits PAg_mispred_cnt_12bits GAs_mispred_cnt_12bits PAs_mispred_cnt_12bits total_brCount total_transactionCount total_takenCount total_num_ops instr_reg_cnt total_reg_use_cnt total_reg_age reg_age_cnt_1 reg_age_cnt_2 reg_age_cnt_4 reg_age_cnt_8 reg_age_cnt_16 reg_age_cnt_32 reg_age_cnt_64 mem_read_cnt mem_read_local_stride_0 mem_read_local_stride_8 mem_read_local_stride_64 mem_read_local_stride_512 mem_read_local_stride_4096 mem_read_local_stride_32768 mem_read_local_stride_262144 mem_read_global_stride_0 mem_read_global_stride_8 mem_read_global_stride_64 mem_read_global_stride_512 mem_read_global_stride_4096 mem_read_global_stride_32768 mem_read_global_stride_262144 mem_write_cnt mem_write_local_stride_0 mem_write_local_stride_8 mem_write_local_stride_64 mem_write_local_stride_512 mem_write_local_stride_4096 mem_write_local_stride_32768 mem_write_local_stride_262144 mem_write_global_stride_0 mem_write_global_stride_8 mem_write_global_stride_64 mem_write_global_stride_512 mem_write_global_stride_4096 mem_write_global_stride_32768 mem_write_global_stride_262144
floyd-warshall dataset1 2561803 592843 461340 385482 278165 2561447 2561803 693138 231953 494697 1763848 0 5776 21540 358 1105 256207 3648 2868 80 982 59 693169 2533 183635 462402 9366 14569 2702 3562 602 13239 144 154 244 17 0 0 0 0 0 0 0 10023 8856 9158 9740 12678 8731 9091 9104 17143 9387 8850 8860 278358 13822 8217 4712229 1352346 3211799 3719158 982338 1015408 1717612 1957717 2424447 2491017 2554450 693138 1057 661334 677348 685609 686686 687528 687692 73 34216 124305 270228 452132 673303 674923 231953 10 227919 229679 229922 230168 230236 230236 1 222090 228703 230460 230616 230737 230737
floyd-warshall dataset2 60415369 14579417 11249985 9625643 6810337 60415083 60415369 17540972 5876561 11891337 42085869 0 5726 167809 287 1105 6109216 24440 4653 109 936 58 17541004 4323 1584983 15187162 6348 3479 387374 3789 621 500 621 1179 360506 115 4 0 0 0 0 0 0 47204 45979 46284 41657 50694 45884 46170 45157 60980 46561 46002 46008 6087708 88198 45402 109615786 30759759 68583718 90133508 24039289 24187864 41967429 47831459 59655313 60116261 60610521 17540972 1055 17451621 17467705 17468870 17534380 17535100 17535624 73 178180 1047783 5445098 6569071 11015424 17522881 5876561 10 5865978 5874275 5874495 5874734 5874741 5874920 1 5866687 5873245 5875000 5875147 5875198 5875378
floyd-warshall dataset3 219980899921 53624357177 41242062099 35696478180 25177879337 219980899635 219980899921 65856041531 21959851859 43948842188 153938761839 0 5555 39798537 287 1066 22016494781 5640931 492602 7733 896 58 65856041562 492271 390871187 62721643921 6107 1923 2243 3669 1468 452928 1371055756 1147 2216 4109 8192 16384 32768 65536 131074 262146 1370986517 10054319 10052937 10053374 8471239 10106183 10052922 10053016 9709349 11686454 10053242 10052763 10052813 22004675774 20102041 10052180 396175379695 110121140548 221935911234 329872781121 87969459616 88000870961 153920248955 175874472967 219812340893 219919643463 220036863637 65856041531 781 65840339157 65840353467 65840354482 65840355446 65856030558 65856030722 72 39214718 258109652 1969740825 13133901823 22037065157 22684490691 21959851859 9 21958083803 21959847069 21959847275 21959847504 21959847511 21959847511 1 21959839639 21959846016 21959847739 21959847876 21959847924 21959847924
gemm dataset1 266374 46028 35964 29543 26342 266018 266374 63330 21708 44298 162196 0 5940 3477 358 32677 12625 1081 2885 83 1079 60 65191 2551 31790 9938 7646 3892 2697 3581 2277 248 151 151 252 17 0 0 0 0 0 0 0 4990 4038 4340 5380 6530 3916 4309 4494 9648 4615 4097 4149 40355 4271 3445 468432 168076 268026 318874 77705 108435 143844 170840 193563 216456 234396 63330 1062 22742 46252 55479 56564 57594 57758 73 18219 20998 23571 24711 43146 44766 21708 12 10058 17926 19582 19830 19871 19871 1 10931 17694 20061 20224 20297 20297
gemm dataset2 1839409 395915 273827 199219 141272 1839053 1839409 392461 190211 228404 1074377 0 5928 3805 358 468162 25321 6062 4483 107 1136 61 392493 4151 270260 9846 7160 2808 51867 3790 495 245 110 41451 218 92 0 0 0 0 0 0 0 10206 8986 9320 10414 11946 8866 9282 9500 15232 9572 9061 9128 224460 14184 8398 3111562 1191202 2388452 2820158 674998 1071778 1482762 1857153 1924426 1976519 2035744 392461 1063 359294 378873 380061 385881 386595 386903 73 19361 23067 25810 27037 31060 372263 190211 12 174876 178265 178513 188324 188331 188378 1 174983 181741 183507 188469 188522 188548
gemm dataset3 5359783302 1178156664 785662705 663323610 641841062 5359783016 5359783302 1321798353 662375509 665101194 3327946721 0 5842 3334 287 1355292508 3616791 1206279 455133 7151 954 58 1321798385 454803 989236755 606132 6293 1936 2416 3763 490 117746 166532609 152 167 13 0 0 0 0 0 164835000 110 1212252 1209140 1209440 1210553 1213987 1209018 1209409 1209628 1217543 1209720 1209196 1209260 665097299 2414588 1208585 8733240627 3363612982 6329190682 8693420454 2011359867 3344311984 4679080943 6002299881 6014989326 6022822312 6038147836 1321798353 1054 1320573776 1320589857 1320591023 1320592097 1321791811 1321791975 73 569457 572196 574632 575838 578527 580147 662375509 12 659363400 661174381 661174601 661174840 662373847 662373847 1 661159284 661165952 661167717 661167864 662367915 662367915
gemver dataset1 253290 40964 33486 28033 24665 252934 253290 56641 18459 47592 155150 0 6348 3462 358 26414 11163 1227 2910 89 1043 60 56672 2577 26573 8196 6546 2425 3363 5268 529 607 167 151 253 17 0 0 0 0 0 0 0 5307 4135 4476 5738 7038 4013 4438 4794 10306 4720 4223 4328 43493 4472 3572 452573 153044 256830 300198 68064 95459 128991 165229 192873 212503 224781 56641 1087 29463 45987 48888 50129 50920 51097 73 16737 19696 22252 23556 32201 36961 18459 24 14307 15215 16239 16616 16643 16648 1 7362 14519 16333 16570 16943 16944
gemver dataset2 711670 139892 106892 82655 69676 711314 711670 128349 57772 83708 359388 0 6348 3455 358 236366 11685 1586 4587 114 1011 59 128379 4255 60979 22580 6277 2399 4448 7884 499 14866 199 638 3257 98 0 0 0 0 0 0 0 5752 4500 4855 6130 7558 4378 4811 5177 11034 5085 4591 4703 79598 5194 3929 1255589 498974 865893 1024860 242283 327397 465905 596276 693039 724665 764577 128349 1087 88577 104597 105781 121766 122507 122827 73 17054 20287 22761 23947 40302 108050 57772 24 47227 55336 55580 55943 55967 55988 1 45633 52873 54670 55005 55820 55937
gemver dataset3 140389158 28819244 21884627 16301551 13849577 140388802 140389158 22092441 12036211 11056348 61248135 0 6336 3448 358 66022106 22943 9109 504658 7925 1021 60 22092471 504325 10549071 4510136 6287 2334 2716 3773 496 243 501862 1007150 173 4003524 70 347 1538 6548 28306 131671 831901 13425 12048 12391 13628 15278 11921 12351 12679 18742 12612 12132 12224 11052240 20252 11471 244681019 106232082 166626560 222467003 53071401 73109593 105153598 134219138 155262633 157330429 164412936 22092441 1082 18059486 18075498 18076699 18077780 22084681 22084889 73 24590 35351 37874 39328 2047950 2053645 12036211 18 10032872 12033775 12034035 12034280 12034400 12034405 1 11999631 12008748 12010559 12010716 12020826 12024838
gesummv dataset1 223784 37263 30244 24984 21633 223428 223784 51599 15729 43734 139204 0 6068 3515 358 17519 10949 1087 2891 85 1049 60 51629 2559 21450 7949 9659 2375 2457 3859 502 247 155 151 249 17 0 0 0 0 0 0 0 5052 4046 4327 5429 6628 3924 4305 4538 9744 4617 4105 4182 39745 4288 3459 399392 134050 220078 256479 59902 82907 111156 138174 161289 180220 192128 51599 1070 26443 42777 44020 45145 45925 46089 73 16542 19312 21773 24046 31192 32812 15729 16 11522 12427 13599 13881 13928 13928 1 3009 9937 11721 11892 14374 14374
gesummv dataset2 478587 102635 84617 63512 46759 478231 478587 98599 37806 53116 230518 0 6068 4115 358 163106 11310 1266 4711 112 1008 59 98629 4380 25079 21644 36507 2251 2487 4960 503 242 112 153 174 133 4 0 0 0 0 0 0 5324 4194 4498 5596 6992 4075 4473 4701 10268 4772 4265 4339 49126 4587 3606 816819 348057 572963 672982 185086 236332 327123 378778 436965 460229 489681 98599 1070 69699 89673 90858 92159 92883 93106 73 16393 23005 25459 34893 53178 79743 37806 16 26283 35104 35348 35989 35996 36037 1 6638 13598 15375 15551 31991 36334
gesummv dataset3 58545820 15667100 12701956 9508081 6416773 58545464 58545820 10613385 5089240 2158987 21280658 0 6044 3383 358 33386406 14634 3692 425637 6690 1020 60 10613415 425305 446402 3176622 6342247 2179 2533 3777 498 241 213150 153 169 13 0 1 0 0 0 0 125 7645 6629 6927 8014 9238 6507 6896 7122 12525 7226 6687 6765 2154996 9439 6026 95911096 49149326 71666822 95753769 28780548 36829576 49956631 55487955 63542375 64425510 67412550 10613385 1062 10163522 10602032 10603223 10604300 10607689 10607857 73 16398 441647 444096 521510 3829402 3831074 5089240 14 3396017 5086917 5087166 5087407 5087457 5087457 1 848895 855750 857525 857686 4240364 4240364
gramschmidt dataset1 347123 53211 44953 38366 35301 345869 347123 91854 35792 59124 220413 0 7398 4639 1257 36229 13864 1606 3074 105 1098 74 91893 2704 24816 6806 6740 3595 3857 39943 2228 481 209 172 323 19 0 0 0 0 0 0 0 6336 4996 5397 6699 8653 4934 5331 5704 12232 5759 5015 5208 53992 5875 4415 593289 211059 381437 428057 90649 136341 176566 239430 265483 289865 310141 91854 1369 44233 61742 80144 82620 84384 84582 81 17911 21297 27059 28998 65607 67366 35792 14 30763 32179 33561 33888 33936 33936 2 12863 21425 32646 32913 34166 34166
gramschmidt dataset2 2941850 446371 393192 359439 321051 2890295 2941850 833301 459231 346098 1848502 0 7458 4534 51558 637270 28727 1925 4811 133 1056 74 833370 4116 26101 6908 7122 3030 2625 10257 743119 6283 10501 12867 386 55 0 0 0 0 0 0 0 15994 11100 11620 12904 18315 11030 11533 11868 22269 11897 11192 11380 340928 18142 10572 4810478 1903218 3989827 4281480 887859 1407764 1763973 2847131 3259838 3316482 3384668 833301 1377 47053 65401 67014 805643 806474 826023 81 17772 22318 25255 36509 43241 803133 459231 14 262386 268469 269001 450904 450911 457434 2 246208 254835 257235 448760 451333 457419
gramschmidt dataset3 9411220593 1221066069 1097939995 1091326922 1082978230 9399700308 9411220593 2882515647 1453458362 1082095132 6135714043 0 7372 4505 11520287 2174767150 3623070 6222 482797 7602 1000 73 2882515714 393062 325694 6868 6635 3469 2508 5177 1063 467 170 1225708 2789099834 1041027 172092 728184 2992368 12638735 50375471 23497057 125 2170162 1447806 1448270 1449543 2172771 1447737 1448202 1448514 2177569 1448598 1447880 1448052 1082088891 2891667 1447320 14868441000 5815184137 11232340367 13770485832 2557798519 4363043430 5451602786 9412531735 10853951123 10861473020 10873966873 2882515647 1369 5059228 5376446 5378032 5382312 2878187089 2878187287 81 17716 320118 323042 324756 2724193 2725966 1453458362 14 733089926 734291292 734291792 734293906 1452015460 1452015460 2 731522917 731531459 731533859 731534049 1451413501 1451413501
heat-3d dataset1 601990 102417 70440 49464 33772 601634 601990 189135 34073 45154 263894 0 5844 3348 358 269355 12112 1077 2899 82 1018 60 189166 2561 55848 8850 101538 2037 3259 9109 475 4925 147 152 248 17 0 0 0 0 0 0 0 4959 4134 4322 5315 6730 4022 4322 4435 10224 4938 4417 4454 41249 4945 3778 1003124 490568 811159 905190 232087 376561 474204 527801 581183 632314 681529 189135 1058 20649 37123 179428 180505 183381 183547 73 16459 57703 83241 166116 169096 170768 34073 11 9320 10341 31727 31972 32298 32298 1 21004 30380 32423 32599 32735 32735
heat-3d dataset2 5679696 929705 627129 362429 209733 5679340 5679696 1680342 254195 122669 2400936 0 5844 3348 358 3046145 69054 26994 4645 110 1032 60 1939572 4297 440741 101107 1055943 125975 2395 3796 494 126801 112 231 77551 126 3 0 0 0 0 0 0 6564 5549 5810 6899 8532 5430 5789 5993 12376 6113 5588 5641 118741 7287 4943 9414307 5167247 8221454 8988818 2891074 3402462 4543934 5664210 6047647 6444041 6753547 1680342 1058 22673 38725 1667832 1668910 1669624 1674735 73 16663 484717 927801 1447414 1657492 1659121 254195 11 9749 10653 251441 251682 251689 252414 1 212327 245090 248213 248371 248424 252080
heat-3d dataset3 20769930375 3733084044 2298321521 1385965259 835906932 20769930089 20769930375 5750788515 823270838 849980091 9123993484 0 5611 3292 287 10683179466 97964301 13939502 434607 6828 905 58 6725468543 434156 1434208173 6017 3467081904 779745735 2290 2917 414180433 245 109 151 172 13 414298000 0 0 0 0 0 215508228 14061959 14061295 14061342 14062605 14063361 14061162 14061240 14061699 14066655 14061562 14061057 14061170 849976458 28118639 14060466 34881817995 18232773480 35567356130 38048653624 10696279919 12341411276 17286179269 23079112841 24855575316 29041567674 29167037013 5750788515 781 5653298121 5749954431 5749955446 5750775410 5750776122 5750776286 72 29161 1642947799 1642950173 3285983105 3285985687 5750535182 823270838 10 807615858 823150828 823151034 823268263 823268270 823268270 1 808458450 822270886 822272616 822389753 822389801 822389801
jacobi-1d dataset1 194948 29774 24307 20528 18662 194592 194948 47005 13059 42232 128307 0 5854 3350 358 2785 10636 1074 2660 79 1010 59 47156 2323 22663 6146 6113 2401 2687 3527 522 249 110 154 244 17 0 0 0 0 0 0 0 4858 3983 4219 5223 6364 3864 4215 4357 9428 4558 4034 4047 38324 4201 3404 350768 110401 177276 210750 46541 66408 88567 111564 130425 147544 157375 47005 1058 20581 38262 39445 40528 41259 41423 73 17385 20658 23105 24102 27078 28698 13059 12 9236 10755 10999 11245 11261 11261 1 3097 9775 11546 11743 11822 11822
jacobi-1d dataset2 239000 35322 28829 25175 23287 238644 239000 59456 17305 47035 154675 0 5854 3349 358 15565 10636 1116 2677 79 992 59 60607 2343 35229 6269 6181 1925 3869 3503 506 256 111 154 244 17 0 0 0 0 0 0 0 5025 4066 4344 5365 6593 3947 4328 4479 9733 4645 4128 4149 43127 4363 3484 422227 140577 231632 286199 63833 92105 127915 155812 184329 201619 211456 59456 1058 34572 50587 51769 53086 53817 53981 73 25623 33077 35517 36538 39530 41150 17305 12 13958 14980 15224 15548 15566 15566 1 7261 13941 15704 15972 16069 16069
jacobi-1d dataset3 10179275 1277694 1021659 1018360 1016729 10178919 10179275 3038946 1013196 1038016 6116110 0 5709 3316 358 3003066 9853 1496 3120 86 954 59 3287977 2785 3015349 5922 6094 1860 2016 3195 450 240 249610 196 243 17 0 0 0 0 0 0 0 5956 4844 4877 5997 7431 4710 4784 5152 10515 5095 4611 4679 1034320 5628 3979 16327156 7102553 12167126 17197034 4040109 6056963 9075605 10098496 12116951 12136231 12145770 3038946 785 3013426 3027667 3028714 3029685 3033427 3033592 72 2011826 3012977 3015866 3016811 3019957 3021452 1013196 10 1007157 1010045 1010284 1010519 1011539 1011540 1 1001537 1008057 1010287 1010434 1011997 1011997
jacobi-2d dataset1 385580 59213 41282 29883 23602 385224 385580 125043 29122 45731 229049 0 5866 3348 358 82385 17388 1077 2879 82 1038 60 136834 2545 54270 47389 9649 11115 2706 3526 507 4563 147 152 248 17 0 0 0 0 0 0 0 5005 4076 4294 5323 6567 3954 4282 4441 9659 4608 4087 4115 41779 4284 3450 633417 278052 446222 495178 110436 151349 246038 278755 303370 330190 360597 125043 1059 21250 37945 114729 115804 119223 119389 73 42132 48229 99966 100976 103942 105614 29122 11 9238 10226 26518 26764 27319 27319 1 17544 25313 27076 27251 27880 27880
jacobi-2d dataset2 4724176 785669 452480 326455 259973 4723820 4724176 1597974 330525 375303 2670960 0 5866 3348 358 1584645 67053 8285 4671 110 1001 59 1830324 4338 640897 926387 9711 2142 2442 164008 495 242 112 190 79232 124 4 0 0 0 0 0 0 12359 11211 11528 12599 14155 11092 11493 11685 17409 11790 11276 11325 371390 18626 10620 7498407 3648857 7820280 8190087 1469624 2284921 4184801 5021320 5859418 5956987 6069919 1597974 1059 1538013 1588899 1590083 1591158 1591878 1592471 73 326039 638795 641244 1567972 1570901 1572530 330525 11 311959 327823 328067 328669 328676 328770 1 309245 322896 324659 324854 324907 329283
jacobi-2d dataset3 11827270951 1970562506 1126141482 841799922 829861551 11827270665 11827270951 4212702134 844103939 845461590 6750513992 0 5613 3292 287 4219194866 9098387 1301283 425107 6680 902 58 4843530162 424776 1684824163 2314987895 210281684 2202 2228 2978 443 240 422174610 152 170 13 0 0 0 0 0 500 210828108 1304805 1304071 1304093 1305302 1306302 1303938 1304002 1304424 1309315 1304336 1303831 1303923 845457951 2604200 1303246 18589965280 9290956189 16170821527 21103006860 4216926833 5063997481 10965120822 13495603434 15190778561 15205890234 15224084080 4212702134 781 4206189740 4212689050 4212690065 4212691029 4212691741 4212691905 72 842417260 1684821904 1684824280 1684825212 4211384296 4211385791 844103939 10 841112965 844100935 844101141 844101370 844101377 844101377 1 841951450 843254885 843256613 843256750 843256798 843256798
lu dataset1 752014 143470 119422 96852 84411 738155 752014 189039 81584 102735 492530 0 5922 3467 13900 108761 13517 4369 3050 84 1017 60 189082 2716 40399 31470 8201 7635 14743 71743 3068 7486 1187 166 251 17 0 0 0 0 0 0 0 8455 7034 7541 8596 10378 7135 7538 7706 13869 7939 7353 7359 98735 10688 6757 1309759 498709 941058 1017764 280390 302615 446096 608242 728111 762516 797943 189039 1065 75774 92401 116011 178607 183326 183491 73 17292 21095 58147 76933 167413 169023 81584 11 77617 78546 79460 79733 79803 79803 1 69869 76683 78582 78745 78854 78854
lu dataset2 14065963 2525073 2019974 1670353 1457431 13943504 14065963 3832404 1593191 1543022 9364160 0 5930 3744 122580 2901111 33500 30243 6246 135 1014 60 3832449 5912 526375 662021 12993 22459 67677 202024 321179 1720406 8130 65084 216256 1900 33 0 0 0 0 0 0 34035 32160 32704 33592 36527 32552 32980 32995 40285 33725 33025 32954 1538938 62155 32659 23613772 9586461 19066727 20200356 5815587 5866959 8910305 12673429 15332506 15496008 15734528 3832404 1065 1475236 1492903 1503497 3783820 3790495 3826874 73 23764 34405 45526 966727 1442338 3799717 1593191 11 1585223 1589466 1590045 1591277 1591284 1591427 1 1568431 1575329 1577329 1577712 1577765 1577901
lu dataset3 61518941343 10253839556 8089253280 6739138640 6679166123 61471213969 61518941343 17345885281 6719421813 6683241499 41418079014 0 5840 7360 47729119 13338836681 6026405 8009079 1002635 15704 960 59 17345885325 1002304 2331881997 3000050816 1617398 373167 1307590 5185056 18889255 71575712 258419959 806322887 1457328290 8057252107 99643 407932 1685412 7179584 33452944 291353139 1000500133 7984332 7978049 7980165 7976894 7998086 7989441 7991571 7987508 8018235 8002175 8000884 7998710 6683229584 16010159 8011388 101753211569 41512511003 69912829787 88312589142 25443367231 25452385300 38825239512 56156654255 68169712570 68209781843 68273785897 17345885281 1061 6670695133 6671244679 6671465815 6673000841 17333889690 17333945561 73 2024258 4541029 4657419 5682744 4014539485 4071119820 6719421813 11 6718393318 6719389343 6719396618 6719399546 6719417126 6719418124 1 6715404039 6715412811 6715415135 6715417590 6715420617 6715420617
ludcmp dataset1 54907336904 10238121980 8071531429 6719670026 6656028764 54859609460 54907336904 16682735411 4054772313 5361916650 36121780315 0 6100 4009417 47729190 13346839181 4031587 4017097 1003404 15718 1043 61 16682984456 1003071 5046345 4664462439 2122167 357131 1286817 4997863 18887175 71514686 258333851 805687953 1456873585 8057232584 99604 407882 1685274 7179211 33451242 291356312 1000999264 9608012 7954430 9164244 7948625 9650467 7976726 9196017 7968980 12130823 8005285 9231976 7991978 5361898621 16009227 10014438 90544448495 40212204395 64146588431 76383678541 24796196243 29471385061 38845256013 44878802122 62869406304 62902533456 62946746557 16682735411 1069 6007541051 6009094532 6009315804 6010851734 16666769580 16666881056 73 2026438 2537733 2602744 3116480 4668730794 4697105963 4054772313 14 4053740698 4054741629 4054748877 4054751363 4054767484 4054768486 1 4054736657 4054745675 4054748019 4054750484 4054754533 4054755035
ludcmp dataset2 724693 138852 113363 90415 77685 710834 724693 185882 61685 97481 465828 0 6124 5933 13900 111921 13737 2938 3082 88 1040 61 186006 2748 23651 43341 8820 8000 15159 71849 3094 7715 1187 171 254 17 0 0 0 0 0 0 0 9301 6953 7910 8746 12741 7200 8077 7818 16716 8065 8372 7488 93286 10698 7639 1273659 503695 899089 955451 284503 344096 456393 541869 701966 734855 766414 185882 1076 72344 89526 94188 174884 180118 180285 73 17516 20483 59586 70602 139074 155356 61685 16 57495 58542 59424 59745 59820 59820 1 50943 57938 59858 60047 60148 60149
ludcmp dataset3 12850963 2488357 1959062 1604099 1383997 12728504 12850963 3702403 1025687 1299153 8355633 0 6124 32587 122580 2930061 26859 16215 6304 138 1033 60 3703287 5972 39127 1008193 19818 22031 68506 199911 325271 1721113 8068 65247 218093 1904 33 0 0 0 0 0 0 42091 31565 37271 32648 48051 32393 38608 32335 61875 34047 40339 32763 1294631 62129 40063 21664070 9441432 17445729 17885523 5763619 6821594 9005804 10449871 14330505 14472348 14651478 3702403 1076 1344888 1366403 1377111 3641556 3653975 3696842 73 24125 27450 34325 1053091 1296176 3384870 1025687 16 1017460 1021996 1022519 1023729 1023753 1023898 1 1014003 1021081 1023095 1023531 1023654 1023670
mvt dataset1 236912 37930 31379 26368 23349 236556 236912 52931 16990 45986 147449 0 6068 3638 358 19873 11051 1169 2875 85 1034 60 52961 2542 25868 6176 6467 2489 2425 5481 521 415 159 150 251 17 0 0 0 0 0 0 0 5110 4087 4381 5508 6719 3965 4357 4614 9907 4669 4155 4245 41997 4386 3505 424456 141304 235165 273737 61947 85844 116737 156116 176837 195736 207088 52931 1070 25938 42494 45318 46463 47254 47418 73 16558 19302 21800 22802 32293 33913 16990 17 12860 13851 14875 15174 15204 15204 1 6551 13420 15206 15505 15620 15620
mvt dataset2 596292 120976 93558 73499 62725 595936 596292 103728 49384 75430 311474 0 6068 3755 358 178226 11493 1448 4514 110 1003 59 103760 4182 59178 6179 6370 2105 4346 3797 495 14743 155 404 1714 92 0 0 0 0 0 0 0 5397 4371 4690 5819 7006 4249 4656 4917 10334 4953 4443 4540 71434 4948 3786 1057508 409372 707230 822352 191666 246953 364233 529141 567830 597599 635395 103728 1070 64264 80355 81540 97191 97927 98242 73 16514 19257 21712 22719 35023 85181 49384 17 38860 47052 47296 47581 47604 47625 1 38465 45336 47113 47661 47741 47854
mvt dataset3 110313050 24053174 18538670 14036771 11861880 110312694 110313050 16051770 10022769 9048666 49197261 0 6056 9389 358 50013106 22763 7092 503653 7908 1012 60 16051801 503320 10523330 6296 6229 1983 2745 3596 478 250 501611 152 172 4001519 36 176 774 3284 14176 65915 415759 11038 10029 10341 11448 12664 9909 10309 10541 15974 10603 10095 10173 9044672 16240 9436 192580648 82206279 131806748 168378718 37077475 52102411 76156175 117203399 122244534 123287910 130340005 16051770 1067 12022918 12039004 12040197 12041276 16044078 16044261 73 18399 21150 23619 24609 27622 33300 10022769 14 8019454 10020440 10020692 10020937 10020989 10020994 1 10000592 10007456 10009239 10009396 10015476 10015480
nussinov dataset1 23525164081 2685159261 2675697515 2653868508 2607750713 23500163726 23525164081 5227114596 2635426167 2610461010 18266769924 0 5757 3352 25000358 3638 2616673683 3124757 393286 6183 979 61 5227114637 199976 2447828628 2884361 74700 239003 889742 3397274 13319230 50778006 185895234 611332565 1396894297 348469135 920966 2571305 7238326 20436620 57761047 75984222 0 3115995 3120184 3115197 3121401 3123161 3125066 3120073 3125493 3143042 3132965 3124868 3129916 2610452278 6256137 3131719 49663833041 13102174760 24639209279 36639736853 5280229811 7890660434 13095898936 18319877116 23537613935 23559494687 23590684631 5227114596 3119541 2622913190 2622962436 2623235587 2624960213 5223997735 5224055009 72 12527327 12667459 13660613 15636684 27984592 169576253 2635426167 10 2635410551 2635411527 2635411760 2635411992 2635424487 2635424487 1 2635413959 2635420529 2635422273 2635422427 2635424978 2635424978
nussinov dataset2 566009 105925 93687 78973 64235 551254 566009 128070 66512 82125 399800 0 5914 3392 14758 1181 53918 2857 2873 83 997 60 128114 2475 61852 6754 7404 7107 15945 22443 2269 1301 137 159 251 17 0 0 0 0 0 0 0 6685 5672 5805 7036 8802 5723 5874 6211 12081 6549 5774 5901 78056 7880 5295 1136035 334247 681147 814594 158029 216350 308434 410714 507563 537170 563485 128070 2717 67061 83844 119034 120842 122389 122554 73 23769 27850 34299 73500 108019 109629 66512 11 63048 63955 64486 64736 64756 64756 1 56459 63199 65039 65201 65266 65266
nussinov dataset3 9392423 1402586 1343276 1230175 1036091 9262468 9392423 2085964 1146377 1047279 7123893 0 5922 3391 129958 1181 1047319 17196 4675 110 1004 60 2086008 3491 975305 18069 10988 18013 59003 188332 482928 262919 14151 39692 13071 46 0 0 0 0 0 0 0 20464 19655 19556 21026 23211 19970 19864 20441 27074 21205 20000 20371 1042965 36804 19877 19768096 5387925 12347445 14750054 2360198 3383118 5333181 7381137 9393516 9523386 9690350 2085964 16817 1088289 1106829 1119948 2064665 2071485 2080436 73 81976 92767 101905 241921 1224413 2067570 1146377 11 1142223 1143212 1143455 1144588 1144603 1144606 1 1136203 1142946 1144729 1145070 1145127 1145133
seidel-2d dataset1 31968209342 13972713517 13957654796 13929081586 13873136036 31968209056 31968209342 6006029536 1998013858 1001038094 12986129497 0 5553 1002282 287 17973021066 4009746 1000479 502603 7889 897 58 6006029564 502272 2012005249 3244757801 5907 1980 1900 3218 451 235 112 499250153 165 13 0 0 0 0 0 0 249500108 1005940 1005273 1005275 1006414 1007534 1005137 1005189 1005558 1010619 1005509 1005022 1005079 1001034479 2006576 2003446 55931391696 27967132343 48434217887 58939238820 13985051404 23962089100 26962113090 27974128755 35968147494 47938187519 47951196313 6006029536 781 9010158 5991033468 5991034483 5991035447 6006013659 6006013823 72 11003222 16999355 17001730 17002760 6006010234 6006011781 1998013858 9 1007897 1997011869 1997012075 1997012304 1998010811 1998010811 1 1997005439 1998010315 1998012038 1998012175 1998012223 1998012223
seidel-2d dataset2 667859 230372 214326 189299 144830 667503 667859 145792 42032 58031 320278 0 5774 4093 358 263465 13622 1854 2849 82 990 59 145823 2514 62329 54260 6168 9293 2678 3496 476 4051 143 154 244 17 0 0 0 0 0 0 0 5651 4752 5005 6025 7329 4632 4991 5136 10535 5317 4797 4808 54152 5740 4935 1167148 521812 1022187 1086319 256593 413937 481067 529187 668126 852580 872759 145792 1057 27375 125661 137942 139019 140142 140306 73 24844 32138 92378 122991 125956 127576 42032 10 9997 38221 39984 40230 40296 40296 1 31470 38822 40579 40735 40816 40816
seidel-2d dataset3 9234973 3928283 3853132 3715294 3449180 9234617 9234973 1801074 576562 333769 3797495 0 5812 8054 358 5046265 29715 5840 4445 106 995 59 1801105 4109 653473 917102 5968 2365 2666 143923 487 245 110 154 70410 93 0 0 0 0 0 0 0 9896 8866 9136 10169 11631 8746 9117 9273 14797 9433 8916 8933 329865 13949 13000 16102336 7999063 15685142 16864981 4000637 6784548 7666748 8034716 10324042 13652516 13724420 1801074 1057 62983 1721388 1722581 1793858 1794578 1795566 73 68125 99181 101625 1778201 1781155 1782821 576562 10 13894 569519 569767 574693 574700 574819 1 561999 573319 575076 575232 575285 575333
